id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
1310,BLOSSAC TISON,287,665,2023-09-05 10:00:17,2023-09-05 10:00:25,56.84210526315789,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-05 10:01:22,2023-09-05 10:01:22
1319,HOTEL DE VILLE,228,625,2023-09-05 10:00:17,2023-09-05 10:00:25,63.519999999999996,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-05 10:03:52,2023-09-05 10:03:52
1328,GARE TOUMAI,240,632,2023-09-05 10:04:19,2023-09-05 10:04:26,62.0253164556962,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-05 10:06:23,2023-09-05 10:06:23
1331,BLOSSAC TISON,291,665,2023-09-05 10:06:19,2023-09-05 10:06:28,56.2406015037594,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-05 10:08:53,2023-09-05 10:08:53
1992,THEATRE,214,320,2023-09-05 22:22:19,2023-09-05 22:22:36,33.125,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-05 22:24:42,2023-09-05 22:24:42
1997,NOTRE DAME,418,642,2023-09-05 22:24:19,2023-09-05 22:24:36,34.890965732087224,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-05 22:27:13,2023-09-05 22:27:13
2738,BLOSSAC TISON,392,665,2023-09-06 06:40:18,2023-09-06 06:40:19,41.05263157894737,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 06:43:08,2023-09-06 06:43:08
2754,HOTEL DE VILLE,344,625,2023-09-06 06:46:20,2023-09-06 06:46:20,44.96,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 06:48:09,2023-09-06 06:48:09
2759,BLOSSAC TISON,379,665,2023-09-06 06:48:20,2023-09-06 06:48:20,43.007518796992485,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 06:50:39,2023-09-06 06:50:39
51,NOTRE DAME,446,642,2023-09-04 23:20:07,2023-09-04 23:20:06,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:23:37,2023-09-04 23:23:37
73,HOTEL DE VILLE,441,625,2023-09-04 23:20:07,2023-09-04 23:20:06,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:23:52,2023-09-04 23:23:52
78,BLOSSAC TISON,486,665,2023-09-04 23:20:07,2023-09-04 23:20:06,26.917293233082706,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-04 23:23:57,2023-09-04 23:23:57
91,PALAIS DE JUSTICE,68,70,2023-09-04 23:20:07,2023-09-04 23:20:06,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:24:02,2023-09-04 23:24:02
94,HOTEL DE VILLE,441,625,2023-09-04 23:22:07,2023-09-04 23:22:07,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:24:08,2023-09-04 23:24:08
104,ARRET MINUTE,96,137,2023-09-04 23:22:06,2023-09-04 23:22:07,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:24:13,2023-09-04 23:24:13
106,BLOSSAC TISON,486,665,2023-09-04 23:22:07,2023-09-04 23:22:07,26.917293233082706,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-04 23:24:18,2023-09-04 23:24:18
118,ARRET MINUTE,96,137,2023-09-04 23:22:06,2023-09-04 23:22:07,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:24:23,2023-09-04 23:24:23
121,NOTRE DAME,446,642,2023-09-04 23:22:07,2023-09-04 23:22:07,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:24:28,2023-09-04 23:24:28
129,HOTEL DE VILLE,441,625,2023-09-04 23:22:07,2023-09-04 23:22:07,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:24:33,2023-09-04 23:24:33
1242,HOTEL DE VILLE,231,625,2023-09-05 09:34:11,2023-09-05 09:34:20,63.04,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-05 09:36:19,2023-09-05 09:36:19
1248,NOTRE DAME,232,642,2023-09-05 09:36:11,2023-09-05 09:36:20,63.862928348909655,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-05 09:38:49,2023-09-05 09:38:49
